acc,mse,n
0.5384337784193431,0.6867556838686395,1.0
0.5846264886322627,0.6160230963551064,3.0
0.6189101407434139,0.5019848430169613,5.0
0.6398412125586431,0.45795741609527246,7.0
0.6477805846264887,0.44640923854204256,9.0
0.6582461205341033,0.42367376398412127,11.0
0.6723204619271022,0.40743413929989175,13.0
0.6773727896066402,0.4016600505232768,15.0
0.683868639480332,0.39191627571273907,17.0
0.6867556838686395,0.3846986647419704,19.0
0.6881992060627932,0.38433778419343195,21.0
0.6874774449657164,0.38722482858173946,23.0
0.686394803320101,0.37639841212558645,25.0
0.6892818477084085,0.37026344280043305,27.0
0.6943341753879466,0.3673763984121256,29.0
0.6950559364850235,0.367737278960664,31.0
0.6946950559364851,0.3691808011548178,33.0
0.6939732948394082,0.3720678455431252,35.0
0.6968603392277156,0.3691808011548178,37.0
0.6939732948394082,0.3720678455431252,39.0
0.6946950559364851,0.3713460844460484,41.0
0.6983038614218694,0.3612414290869722,43.0
0.6954168170335618,0.36629375676651027,45.0
0.6954168170335618,0.3706243233489715,47.0
0.6943341753879466,0.3717069649945868,49.0
0.6964994586791772,0.36954168170335616,51.0
0.6964994586791772,0.36954168170335616,53.0
0.6950559364850235,0.37098520389750994,55.0
0.6943341753879466,0.36954168170335616,57.0
0.6961385781306387,0.3699025622518946,59.0
